pickd_name,matched_by,orders,fsm_candidates,fsm_recipient_ids_and_addresses
SIC TRANSIT CYCLES,name,7,4,"SIC TRANSIT CYCLES (1033 BROADWAY, ANN ARBOR MI 48105) | SIC  (1002 PONTIAC TRAIL, ANN ARBOR MI 48105) | 830700 (1002 PONTIAC TRAIL, ANN ARBOR MI 48105) | 830701 (1002 PONTIAC TRAIL, ANN ARBOR MI 48105)"
LIGHTHOUSE BIKES,name,6,2,"599500 (72 OCEAN ST- UNIT 106, SOUTH PORTLAND ME 04106) | LIGHTHOUSE BIKES (37  OCEAN STREET, SOUTH PORTLAND ME 04106)"
WILMETTE BICYCLE & SPORT SHOP,name,6,3,"000855000 (605 GREEN BAY ROAD, WILMETTE IL 60091) | WILMETTE (605 GREEN BAY ROAD, WILMETTE IL 60091) | 855000 (605 GREEN BAY ROAD, WILMETTE IL 60091)"
MC CYCLE & SPORT,name,6,4,"MC CYCLE (574 MAIN STREET, LACONIA NH 03246) | MC CYCLE & SPORT (574 MAIN STREET, LACONIA NH 03246) | 1083900 (574 MAIN STREET, LACONIA NH 03246) | MC  (574 MAIN STREET, LACONIA NH 03246)"
"COOL CAT CYCLES, LLC",name,6,10,"COOL CAT   (22010 WESTHEIMER PKWY, KATY TX 77450) | COOL CAT (3511 HARBOUR CHASE DR, KATY TX 774508060) | COOL CAT  CYCLES (22756 WESTHEIMER PKWY UNIT 140, KATY TX 77450) | COOL CAT CYCLES (22010 WESTHEIMER PKWY, KATY TX 77450) | COOL CAT CYCLES  (22010 WESTHEIMER PKWY, KATY TX 77450) | 714700 (22010 WESTHEIMER PARKWAY, KATY TX 77450)"
BICYCLE HANGAR DOWNTOWN,name,6,2,"BICYCLE HANG (424 N HIGGINS AVE, MISSOULA MT 59802) | BICYCLE HANGAR (1801 BROOKS, MISSOULA MT 59801)"
BOULEVARD BIKES LLC,name,6,2,"99100 (2769 N. MILWAUKEE AVE, CHICAGO IL 60647) | BOULEVARD BIKES (2769 N. MILWAUKEE AVENUE, CHICAGO IL 60647)"
BIKE ZONE FALMOUTH,name,6,2,"787700 (13 COUNTY ROAD, NORTH FALMOUTH MA 02556) | BIKE ZONE FALMOUTH (13 COUNTY ROAD, NORTH FALMOUTH MA 02556)"
MOJO BICYCLE SHOP,name,6,2,"MOJO (1377 NORTH DELSEA DRIVE, VINELAND NJ 08360) | 738500 (1377 N. DELSEA DR, VINELAND NJ 08360)"
CENTER STREET CYCLES,name,6,2,"CENTER STREET CYCLES (11 CENTER STREET, BRUNSWICK ME 04011) | 297500 (11 CENTER STREET, BRUNSWICK ME 04011)"
CEDAR CYCLES,name,6,2,"220800 (38 E. 200 S., CEDAR CITY UT 84720) | CEDAR CYCLES (38 E. 200 SOUTH, CEDAR CITY UT 84720)"
CYCLE WORKS,name,6,4,"280700 (207 HELLAM STREET, WRIGHTSVILLE PA 17368) | CYCLE WORKS (207 HELLAM STREET, WRIGHTSVILLE PA 17368) | 782522 (207 HellMAN STREET, Wrightsville PA 17368) | CYCLE WORKS - CA (1420 MISSION STREET, SANTA CRUZ CA 95060)"
BRANDS CYCLE CENTER,name,6,3,"BRANDS  (373 BURNS AVENUE, WANTAGH NY 11793) | 18200 (1966 Wantagh Avenue, Wantagh NY 11793) | BRANDS CYCLE CENTER (1966 WANTAGH AVENUE, WANTAGH NY 11793)"
BLUE LINE BICYCLE LAB,name,6,4,"001136100 (1504 YALE STREET, HOUSTON TX 77008) | BLUE LINE 1504 (1504 YALE STREET, HOUSTON TX 77008) | BLUE LINE BICYCLE LAB (1504 YALE STREET, HOUSTON TX 77008) | 1136100 (1504 YALE STREET, HOUSTON TX 77008)"
10538 BICYCLES INC,name,6,2,"10538 BICYCLES INC (146 LARCHMONT AVENUE, LARCHMONT NY 10538) | 10538 BICYCLES (146 LARCHMONT AVENUE, LARCHMONT NY 10538)"
PEAK MOUNTAINBIKE PRO,name,6,2,"585400 (42-42 235TH STREET, DOUGLASTON NY 11363) | PEAK MOUNTAINBIKE PRO (42-42 235TH ST., DOUGLASTON NY 11363)"
CYCLE SYMPHONY,name,5,3,"716900 (6565 STATE ROUTE 30, JEANNETTE PA 15644) | 716901 (195 MAIN STREET, ADAMSBURG PA 15611) | CYCLE SYMPHONY (6565 STATE ROUTE 30, JEANNETTE PA 15644)"
COUNTY LINE BICYCLE SHOP,name,5,2,"COUNTY LINE BICYCLE SHOP (5305 S. 1200 W, MILLERSBURG IN 46543) | 875500 (5305 S.1200 W, MILLERSBURG IN 46543)"
TRULY SPOKEN CYCLES,name,5,3,"780500 (604 East Center Street, Milwaukee WI 53212) | TRULY (604 EAST CENTER STREET, MILWAUKEE WI 53212) | TRULY SPOKEN CYCLES (604 EAST CENTER STREET, MILWAUKEE WI 53212)"
FREEWHEELER BIKE SHOP,name,5,4,"FREEWHEELER 915 (915 LEONARD STREET NW, GRAND RAPIDS MI 49504) | 462601 (915 LEONARD STREET NW, GRAND RAPIDS MI 49504) | FREEWHEELER (915 LEONARD ST NW, GRAND RAPIDS MI 495044133) | FREEWHEELER BIKE SHOP (4235 RIVERBEND DR SW, GRAND RAPIDS MI 49534)"
BERNIE'S CYCLE & FITNESS,name,5,2,"551000 (111 ROUTE 33, HAMILTON NJ 08619) | BERNIE'S CYCLE & FITNESS (111 ROUTE 33, HAMILTON NJ 08619)"
LIFE CYCLE BIKE SHOP,name,5,3,"LIFE CYCLE BIKE SHOP (1733 PEARL STREET, EUGENE OR 97401) | LIFE CYCLE 1733 (1733 PEARL STREET, EUGENE OR 97401) | 632500 (1733 PEARL STREET - SUITE B, EUGENE OR 97401)"
WYCKOFF CYCLE LLC,name,5,3,"WYCKOFF (396 FRANKLIN AVENUE, WYCKOFF NJ 07481) | 603400 (396 FRANKLIN AVE, WYCKOFF NJ 07481) | WYCKOFF CYCLE  (396 FRANKLIN AVE, WYCKOFF NJ 07481)"
SWEETGRASS CYCLES LLC,name,5,3,"SWEETGRASS CYCLES LLC (234 MATHIS FERRY ROAD, MOUNT PLEASANT SC 29464) | 440300 (234 MATHIS FERRY ROAD STE 103, MT. PLEASANT SC 29464) | SWEETGRASS (234 MATHIS FERRY ROAD, MOUNT PLEASANT SC 29464)"
CYCLE SPORT,name,5,2,"CYCLE SPORT PA (801 N PROVIDENCE RD, MEDIA PA 19063) | CYCLE SPORT (2125 NORTH PALAFOX, PENSACOLA FL 32501)"
CHESHIRE CYCLE & REPAIR,name,5,4,"412200 (3550 WHITNEY AVENUE, HAMDEN CT 06518) | CHESHIRE (3550 WHITNEY AVENUE, HAMDEN CT 06518) | CHESHIRE CYCLE (3550 WHITNEY AVENUE, HAMDEN CT 06518) | CHESHIRE CYCLE & REPAIR (3550 WHITNEY AVENUE, HAMDEN CT 06518)"
A1A CYCLE WORKS,name,5,3,"A1A CYCLE WORKS  (5543 A1A S, ST AUGUSTINE FL 32080) | 741800 (5543 A1A SOUTH   UNIT 103, SAINT AUGUSTINE FL 32080) | A1A CYCLE (5543 A1A S, ST AUGUSTINE FL 32080)"
MONTCLAIR BIKERY,name,5,3,"7250 (148 VALLEY ROAD, MONTCLAIR NJ 07042) | MONTCLAIR BIKERY (148 VALLEY ROAD, MONTCLAIR NJ 07042) | 725000 (148 VALLEY ROAD, MONTCLAIR NJ 07042)"
MAIN STREET BICYCLES,name,5,2,"MAIN STREET BICYCLES (39 EAST MAIN STREET, CARPENTERSVILLE IL 60110) | MAIN STREET IL (39 EAST MAIN STREET, CARPENTERSVILLE IL 60110)"
INTOWN BICYCLES,name,5,4,"INTOWN BICYCLES  (1035 MONROE DR N.E., ATLANTA GA 30306) | 633000 (1035 MONROE DR N.E., ATLANTA GA 30306) | 553900 (1035 MONROE DRIVE NORTHEAST, ATLANTA GA 30306) | INTOWN (1035 MONROE DR NE, ATLANTA GA 30306)"
MOUNTAIN VIEW CYCLERY&FITNESS,name,5,3,"MOUNTAIN VIEW  (8933 N COMMERCE DRIVE, HAYDEN ID 83835) | MOUNTAIN VIEW CYCLERY & F (8933 N COMMERCE DRIVE, HAYDEN ID 83835) | MOUNTAIN VIEW 8933 (8933 N. COMMERCE DRIVE, HAYDEN ID 83835)"
MYTHIC BIKE WORKS,name,5,3,"765201 (1425 KINGSTOWN ROAD, PEACE DALE RI 02879) | MYTHIC (1207 KINGSTOWN RD, PEACE DALE RI 02879) | MYTHIC BIKE WORKS (1207 KINGSTOWN ROAD, PEACE DALE RI 02879)"
RETRO CITY CYCLES,name,5,6,"RETRO CITY CYCLES 1810 (1810 N. ORANGE AVENUE, ORLANDO FL 32804) | RETRO (1810 N. ORANGE AVENUE, ORLANDO FL 32804) | RETRO CITY 355 (355 N RONALD REAGAN BLVD, LONGWOOD FL 32750) | 629900 (1810 N. ORANGE AVENUE, ORLANDO FL 32804) | RETRO CITY 3085 (3085 SE 80TH STREET #19, OCALA FL 34480) | RETRO CITY CYCLES (1810 N.ORANGE AVE, ORLANDO FL 32804)"
BIKE TECH,name,5,7,"BIKE TECH 3003 (3003 VINEVILLE AVE, MACON GA 31204) | 000440700 (909 2ND STREET, MACON GA 31201) | BIKE TECH BOOT (909 2ND STREET, MACON GA 31201) | BIKE TECH MACON (909 2ND STREET, MACON GA 31201) | 440700 (909 2ND STREET, MACON GA 31201) | BIKE TECH (CORAL) (2220 SW 22nd Street, MIAMI FL 33145)"
CYCLOPEDIA,name,4,2,"7486 (130 LITCHFIELD LANDINGS, PAWLEYS ISLAND SC 29585) | 748601 (130 LITCHFIELD LANDINGS, PAWLEYS ISLAND SC 29585)"
Roscoe Village Bikes,name,4,4,"ROSCOE (2016 WEST ROSCOE STREET, CHICAGO IL 60618) | 872100 (2016 W. ROSCOE, CHICAGO IL 60618) | 8/721 (2016 Roscoe Street, Chicago IL 60618) | ROSCOE VILLAGE BIKES (2016 W ROSCOE, CHICAGO IL 60618)"
NEWSWANGER BIKE SHOP,name,4,2,"NEWSWANGER BIKE SHOP (166 EMORY OAK LANE, ROARING SPRING PA 16673) | 763500 (166 EMORY OAK LANE, ROARING SPRING PA 16673)"
PEDAL & SPOKE LTD,name,4,2,"PEDAL & SPOKE (157 S. LINCOLNWAY ST, NORTH AURORA IL 60542) | 830100 (157 S. LINCOLNWAY ST, NORTH AURORA IL 60542)"
FAIRMOUNT BICYCLE COMPANY,name,4,5,"FAIRMOUNT 2819 (2819 W. GIRARD AVE., PHILADELPHIA PA 19130) | FAIRMONT BICYCLE COMPANY (2015 FAIRMOUNT AVENUE, PHILADELPHIA PA 19130) | 441200 (2015 FAIRMOUNT AVENUE, PHILADELPHIA PA 19130) | BREWERTON (2819 W. GIRARD AVE, PHILADELPHIA PA 19130) | FAIRMOUNT (2015 FAIRMOUNT AVENUE, PHILADELPHIA PA 19130)"
CYCLE CLASSICS,name,4,2,"CYCLE CLASSICS (427 HIGH ST., PORTSMOUTH VA 23704) | 272600 (427 HIGH STREET, PORTSMOUTH VA 23704)"
ROSCOE VILLAGE BIKES,name,4,4,"ROSCOE (2016 WEST ROSCOE STREET, CHICAGO IL 60618) | 872100 (2016 W. ROSCOE, CHICAGO IL 60618) | 8/721 (2016 Roscoe Street, Chicago IL 60618) | ROSCOE VILLAGE BIKES (2016 W ROSCOE, CHICAGO IL 60618)"
LOYAL CYCLE CO,name,4,3,"712501 (15 EAST STATE STREET, FARMINGTON UT 84025) | LOYAL CYCLE CO (15 EAST STATE STREET, FARMINGTON UT 84025) | 712500 (15 EAST STATE STREET, FARMINTON UT 84025)"
THE CYCLE MILL BIKE SHOP,address,4,2,"CYCLE MILL (169 FREDERICK ROAD, ELLICOTT CITY MD 21043) | THE CYCLE MILL (169 FREDERICK ROAD, ELLICOTT CITY MD 21043)"
HILLSBORO BICYCLE CENTER INC,name,4,3,"HILLSBORO BICYCLE CENTER (3330 WEST HILLSBORO BLVD., DEERFIELD BEACH FL 33442) | 391500 (3330 W HILLSBORO BLVD, DEERFIELD BEACH FL 33442) | HILLSBORO (3330 W. HILLSBORO BLVD., DEERFIELD BEACH FL 33442)"
WAXHAW CYCLES,name,4,2,"WAXHAW CYCLES (3617 PROVIDENCE ROAD S, WAXHAW NC 28173) | 1096500 (3617 PROVIDENCE ROAD, WAXHAW NC 28173)"
KICKSTAND CULTURE,name,4,2,"605000 (654 MAIN STREET, EAST AURORA NY 14052) | KICKSTAND CULTURE (654 MAIN STREET, EAST AURORA NY 14052)"
M & M TWOWHEELER INC,name,4,5,"819300 (606 W. LANCASTER AVE 1ST FL, BRYN MAWR PA 19010) | M & M (606 W. LANCASTER AVENUE, BRYN MAWR PA 19010) | 8149300 (606 W. Lancaster Ave. 1st Floor, Bryn Mawr PA 19010) | M & M TWOWHEELER INC (606 W. LANCASTER AVENUE, BRYN MAWR PA 19010) | M&M (606 W. LANCASTER AVENUE, 1ST FL, BRYN MAWR PA 19010)"
FENWICK ISLANDER BICYCLE SHOP,name,4,3,"FENWICK (101-3 COASTAL HWY, FENWICK ISLAND DE 19944) | FENWICK ISLANDER BICYCLE  (101-3 COASTAL HWY, FENWICK ISLAND DE 19944) | 1053700 (101-3 COASTAL HWY, FENWICK ISLAND DE 19944)"
ISLAND HOPPERS BICYCLES,name,4,3,"ISLAND HOPPERS BICYCLES (570 MEADOW SUMMIT DRIVE, OCEAN ISLE BEACH NC 28469) | 577500 (570 MEADOW SUMMIT DRIVE  -  SUITE 7, OCEAN ISLE BEACH NC 28469) | ISLAND HOPPERS (570 MEADOW SUMMIT DRIVE, OCEAN ISLE BEACH NC 28469)"
SHORE BRAKE CYCLERY,name,4,3,"SHORE BRAKE CYCLERY (3801 LONG BEACH BLVD, BRANT BEACH NJ 08008) | SHORE BRAKE (674 BUCCANEER LANE, MANAHAWKIN NJ 08050) | 956001 (3801 LONG BEACH BLVD, BRANT BEACH NJ 08008)"
MONTGOMERY CYCLERY,name,4,9,"727500 (9449 MONTGOMERY ROAD, CINCINNATI OH 45242) | MONTGOMERY - OHIO  (8483 BEECHMONT AVENUE, CINCINNATI OH 45255) | MONTGOMERY CYCLERY 9449 (9449 MONTGOMERY ROAD, CINCINNATI OH 45242) | 767400 (116 KARL BROWN WAY, LOVELAND OH 45140) | MONTGOMERY - KY (3708 DIXIE HIGHWAY, ERLANGER KY 41018) | MONTGOMERY - PISGAH (8975 CINCINNATI - COLUMBUS ROAD, PISGAH OH 45069)"
JUST RIDING ALONG,name,4,6,"JRA BIKE SHOP (1120 NW 85TH STREET, SEATTLE WA 98117) | 623500 (15 CHURCH STREET, LIBERTY CORNER NJ 07938) | JUST RIDING ALONG LL (6828 OLNEY-LAYTONSVILLE RD, LAYTONSVILLE MD 20882) | JUST RIDING ALONG (15 CHURCH STREET, BASKING RIDGE NJ 07920) | 585901 (1120 NW 85TH STREET, SEATTLE WA 98117) | JUST RING ALONG LLC (DBA JUST RIDING ALONG BICYCLE, LAYTONSVILLE MD 20882)"
RANDY'S BIKE & RUN SHOP,name,4,4,"879000 (1717 S. OAKS STREET, SAN ANGELO TX 76903) | RANDY (1717 S. OAKES STREET, SAN ANGELO TX 76903) | RANDY'S (1717 S. OAKES STREET, SAN ANGELO TX 76903) | RANDY'S BIKE & RUN SHOP (1717 S OAKES STREET, SAN ANGELO TX 76903)"
CAMPUS BIKE SHOP,name,4,2,"CAMPUS (459 LAGUNITA DRIVE, STANFORD CA 94305) | 210100 (459 LAGUNITA DRIVE # 12, STANFORD CA 94305)"
OAK CLIFF BIKE SYNERGY,name,4,2,"744900 (1300 S. POLK ST - STE 152, DALLAS TX 75224) | OAK CLIFF BIKE SYNERGY (1300 S POLK STREET, DALLAS TX 75224)"
SKYLINE CYCLE,name,4,2,"968000 (834 WASHINGTON BLVD, OGDEN UT 84404) | SKYLINE CYCLE (834 WASHINGTON BOULEVARD, OGDEN UT 84404)"
HANDY BIKES,name,4,3,"515001 (3800 WHEELER AVE, ALEXANDRIA VA 22304) | 5150 (3800 WHEELER AVE, ALEXANDRIA VA 22304) | HANDY BIKES (3800 WHEELER AVE, ALEXANDRIA VA 22304)"
THE PEDALER'S HORSE,name,4,3,"THE PEDALER'S (6630 50TH AVENUE, SEARS MI 49679) | THE PEDALER'S HORSE (6630 50TH AVENUE, SEARS MI 49679) | 1008502 (5938 US10, EVART MI 49631)"
BIKE KING CYCLING,name,4,2,"BIKE KING CYCLING (1247 WOODBOURNE ROAD, LEVITTOWN PA 19057) | 1380 (1247 WOODBOURNE RD, LEVITTOWN PA 19057)"
